time_s,time_min,soc,temp_c,r0_ohm,r1_ohm,c1_f,r2_ohm,c2_f,v1_v,v2_v,q_ohmic_w,q_pol1_w,q_pol2_w,q_gen_w
986.0,16.433333333333334,0.17833333333331677,49.259694094036966,0.019577381919971524,0.012208911733654439,37.65568305400181,0.006706894231568218,1549.0569159839401,0.10615857346917827,0.05528115796051497,1.4818120375226442,0.9235795891818509,0.4809460742564802,2.8863377009609756
987.0,16.45,0.17749999999998345,49.259142414252004,0.01956222745888401,0.012215020036308354,37.4747268286985,0.006740150056819874,1545.7873377884434,0.10621083501905287,0.055562768922241566,1.4806649963629304,0.9240342646657599,0.4833960896235016,2.8880953506521916
988.0,16.466666666666665,0.17666666666665012,49.25863126449516,0.01954731074562029,0.012221225829506256,37.29588379754404,0.0067733400041664225,1542.6432791939496,0.10626394087919618,0.055844326790569415,1.4795359503359995,0.9244962856490067,0.48584564307795386,2.88987787906296
989.0,16.483333333333334,0.1758333333333168,49.25816108954679,0.01953263646451812,0.012227529619709857,37.11916736040713,0.006806455187653261,1539.6258477504202,0.10631789541154871,0.05612577074978602,1.4784252539993763,0.9249656900804737,0.48829420552313835,2.891685149602988
990.0,16.5,0.17499999999998347,49.25773232996584,0.019518209327977844,0.012233931913929115,36.94459081172282,0.006839486553014076,1536.7361782240655,0.10637270298233077,0.05640703881898573,1.4773332640346428,0.9254425159462777,0.49074123772517586,2.8935170177060963
991.0,16.516666666666666,0.17416666666665015,49.257345421923844,0.019504034077040683,0.012240433219732052,36.772167351008534,0.006872424877700686,1533.9754337605698,0.10642836796212639,0.05668806785299886,1.476260339291209,0.9259268012704995,0.49318619032109007,2.8953733308827987
992.0,16.533333333333335,0.17333333333331682,49.257000797040554,0.019490115481985107,0.012247034045254398,36.601910093569046,0.006905260771031838,1531.3448070800096,0.1064848947259668,0.05696879354416248,1.4752068408314525,0.926418584115911,0.4956285038342136,2.897253928781577
993.0,16.55,0.1724999999999835,49.25669888222137,0.019476458342941778,0.01225373489920919,36.43383208139278,0.006937984674464472,1528.8455217046996,0.1065422876534115,0.05724915042495976,1.4741731319772629,0.92691790258468,0.4980676086971499,2.8991586432590926
994.0,16.566666666666666,0.17166666666665018,49.256440099496764,0.019463067490527196,0.012260536290896304,36.2679462942428,0.006970586861991821,1526.4788332212781,0.10660055112862772,0.05752907187155446,1.4731595783580032,0.9274247948190611,0.5005029252825238,2.901087298459588
995.0,16.583333333333332,0.17083333333331685,49.25622486586388,0.01944994778649653,0.012267438730211862,36.104265660944556,0.007003057440672307,1524.246030578358,0.10665968954046806,0.05780849010824745,1.472166547959922,0.9279392990020721,0.5029338639417528,2.9030397109037467
996.0,16.6,0.16999999999998353,49.256053593130545,0.01943710412441606,0.01227444272765755,35.942803070874504,0.007035386351293351,1522.1484374211839,0.10671970728254603,0.05808733621288203,1.4711944111770514,0.9284614533581503,0.5053598250520736,2.9050156895872754
997.0,16.616666666666667,0.1691666666666502,49.255926687761914,0.01942454143035537,0.012281548794349841,35.78357138565186,0.007067563369174095,1520.1874134647262,0.10678060875330947,0.058365540123224716,1.4702435408635977,0.9289912961537923,0.507780199072055,2.9070150360894447
998.0,16.633333333333333,0.16833333333331688,49.25584455072987,0.01941226466359991,0.012288757442029155,35.626583451038705,0.0070995781051113056,1518.3643559067768,0.10684239835611195,0.05864303064434819,1.469314312387877,0.929528865698174,0.5101943666058292,2.90903754469188
999.0,16.65,0.16749999999998355,49.255807577365516,0.019400278817384122,0.012296069183068836,35.47185210905106,0.007131420006472344,1516.6807008826593,0.10690508049928213,0.058919735457042814,1.468407103687804,0.9300742003437544,0.5126016984762725,2.911083002507831
1000.0,16.666666666666668,0.16666666666665023,49.25581615721494,0.019388588919645622,0.012303484530484087,35.3193902102862,0.007163078358439448,1515.1379249632105,0.10696865959619042,0.059195581127283056,1.4675222953279767,0.9306273384868566,0.5150015558073625,2.913151189622196
1001.0,16.683333333333334,0.1658333333333169,49.255870673898414,0.019377200033800845,0.01231100399794077,35.16921062647059,0.007194542285409368,1513.7375466977976,0.10703314006531367,0.05947049311677494,1.4666602705583855,0.9311883185682288,0.5173932901159419,2.915241879242556
1002.0,16.7,0.16499999999998358,49.25597150497341,0.019366117259542417,0.012318628099764053,35.02132626323314,0.007225800752552344,1512.481128204185,0.10709852633029715,0.05974439579461034,1.4658214153747653,0.9317571790735851,0.5197762434131099,2.91735483786146
1003.0,16.716666666666665,0.16416666666665025,49.25611902180151,0.01935534573365897,0.012326357350947025,34.87575007310973,0.007256842567534569,1511.3702768072058,0.10716482282001408,0.06001721245005359,1.465006118580647,0.9323339585341224,0.5221497483154662,2.9194898254302357
1004.0,16.733333333333334,0.16333333333331693,49.2563135894196,0.019344890630877434,0.012334192267159061,34.73249506878381,0.007287656382408005,1510.4066467281916,0.10723203396862278,0.06028886530648566,1.4642147718511127,0.9329186955270181,0.5245131281664251,2.9216465955445563
1005.0,16.75,0.1624999999999836,49.25655556641547,0.019334757164728596,0.01234213336475419,34.59157433657011,0.007318230695671637,1509.5919408272555,0.10730016421562052,0.06055927553653054,1.463447769798307,0.9335114286758985,0.5268656971678156,2.9238248956420216
1006.0,16.766666666666666,0.16166666666665028,49.25684530480819,0.019324950588436227,0.012350181160779204,34.45300105014661,0.007348553854508072,1508.9279124006457,0.10736921800589536,0.06082836327838821,1.4627055100387378,0.9341121966512895,0.5292067605219773,2.9260244672120046
1007.0,16.783333333333335,0.16083333333331695,49.25718314993341,0.019315476195830166,0.012358336172981732,34.31678848454297,0.007378614057199213,1508.4163670353976,0.10743919978977423,0.06109604765339797,1.461988393262385,0.9347210381710357,0.5315356145845623,2.9282450460179827
1008.0,16.8,0.15999999999998363,49.25756944033399,0.019306339322283938,0.012366598919818101,34.182950030391396,0.007408399355725066,1508.0591645237027,0.1075101140230689,0.061362246784855266,1.461296823303671,0.9353379920006993,0.5338515470282408,2.930486362332611
1009.0,16.816666666666666,0.1591666666666503,49.25800450765605,0.019297545345677514,0.012374969920461117,34.0514992084481,0.007437897658549123,1507.8582208394694,0.10758196516711807,0.06162687781810477,1.4606312072143306,0.9359630969539271,0.5361538370175114,2.932748141185769
1010.0,16.833333333333332,0.15833333333331698,49.25848867655087,0.019289099687385288,0.01238344969480758,33.92244968439354,0.007467096733594254,1507.8155101796806,0.10765475768882705,0.06188985694193141,1.4599919553381921,0.9365963918927953,0.5384417553948032,2.935030102625791
1011.0,16.85,0.15749999999998365,49.25902226458286,0.019281007813290313,0.012392038763485812,33.79581528391948,0.00749598421141253,1507.9330670732672,0.10772849606070327,0.06215109941127078,1.4593794813879435,0.9372379157281183,0.5407145648780558,2.9373319619941176
1012.0,16.866666666666667,0.15666666666665033,49.25960558214384,0.019273275234824968,0.012400737647862868,33.671610008111855,0.007524547588552549,1508.2129885603383,0.10780318476088926,0.06241051957125911,1.4587942025239016,0.9378877074197365,0.5429715202699542,2.939653430213592
1013.0,16.883333333333333,0.155833333333317,49.26023893237398,0.01926590751003859,0.012409546870051654,33.54984804913961,0.0075527742311275615,1508.6574364447308,0.10787882827319174,0.06266803088264242,1.4582365394348205,0.9385458059767681,0.545211868678989,2.9419942140905775
1014.0,16.9,0.15499999999998368,49.26092261108966,0.01925891024469289,0.012418466952917925,33.430543806258086,0.0075806513785878086,1509.2686396230315,0.10795543108710662,0.06292354594856349,1.4577069164208047,0.9392122504578275,0.5474348497525023,2.9443540166311344
